review_description,rating
زي الخرا والله لا امزح جيد,neutral
تمام التمام,positive
زق بسس حلو .😅👍,positive
😁😁😁😎😁😁😁😎😁😁😁😎,positive
مرره واو,positive
مجهووود طيب وخدمه رائعه  شكرا لكم👌❤❤❤,positive
التطبيق اكثر من رائع 👍,positive
"خدمة تحديد الموقع عن طريق الخريطة لا تعمل بشكل جيد (الإمارات- gps شغال)،،يظهر لي بأن الموقع المحدد هو خارج نطاق التوصيل مع اننا دائما نطلب من التطبيق؟؟ لذلك لا أستطيع عمل تأكيد عند وضع الدبوس على مكان منزلنا في الخريطة",positive
جميل♋.,positive
برنامج لا يمكن استغناة عنه لان هو احسن من انك ما تعب نفسك,positive
رائع جدااااااااا😍😍😍😍,positive
الاكل بوصل حاااااررر و احلى شى بتابع الطلب لوين وصل,positive
المحادثة المباشرة سيئة جدا وكثيرا لا يرد عليك وبطيئة جدا جدا و عدة مرات يتاخر الطلب وعند الاتصال هاتفيا فقط الجواب انتظر 👎,negative
بعد جبدي والله,positive
يوصل الاكل بارد🙀💔,positive
الطازج نبغا الطازج والحد الادنا المفروض يكون ثابت على ٢٠,negative
ابداع البرنامج 👌❤,positive
ممتاز موفقين,positive
يحتاح سرعة تواصل اسرع في الشات بطء.شديد بالرد على الزبون  وهناك مطاعم يصلها الطلب من التطبيق متأخر,negative
😋😋😋,positive
للامانه ازين وتفاعله اكثر موب زي هنقرستيشن يمكن علشان الناس عليه مومره زحمه بس مايسحب عليك نفس الوقت اللي يكتبه يجيبه 😍,positive
مناسب للي جوعان وماعنده رصيد يكلم,positive
جدااا مممتاز,positive
البرنامج زباله ويلعبو في الطلب حقكم ي جماعه مضيعة فلوس بس والله حرك رج وروح أقرب مطعم وخذ طلبك بيدك والله برنامج تافه وصرف,negative
الاكل وصل بارررد ومتاخر طلبت 8 الصباح وصل 11 الظهر 👎😁,negative
حلو لاكن مرات اطلب يجيني بارد  لاكن حلو يجي بل وقت صح,positive
انهو جميل ❤❤,positive
سهل عليي الطلب بشكل كبير,positive
والله البرنامج يوزع هدايا صدق ؟؟؟,positive
حلو كتير وجميل جدا بس كتير غالي,positive
احله مطعم,positive
كان قبل شغال 100/100 ولحين يشير عدل,negative
من انجح البرامج للطلبات انصح بتحميل من تجربتي له,positive
انعل ابوالسو التطبيق,negative
وجبات سريعة وحلويات فقط,negative
لا اتستطيع تسجيل الدخول لا اعلم لماذا ادخل البريد الإلكتروني مايشتغل يقول البريد معطل ❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌❌👎👎👎👎👎👎👎👎👎🖓🖓🖓🖓🖓🖓,negative
حلوووووووووووووووووووو كتيرررررر,positive
أسوء تطبيق مطاعم بالسعوديه .. لاتوصيل سريع ولاخدمه للعملاء ولارد على الهاتف  ما انصح فيه اطلاقا,negative
التطبيقق ناريي 👊💕  بالتوفيق 👌,positive
أفضل برنامج على إطلاق,positive
التطبيق كان جيد أما الآن سيء لأبعد درجة لي فتره أطلب وتجيني رسالة استلام الطلب بنجاح وبعدها يلغى الطلب بدون اشعاري !!,negative
والله ابداع ويوصل حتى وطريقة استخدامه سهلة,positive
برنامج فاشل لايمكن تحديد طلب حار بارد مشوي مقلي مثلا كنتاكي  او صب واي تحديد الخضار الخبز الصوص بدقه يحتاج الي تحسينات,negative
أتمنى انه يضم عدد أكبر من المطاعم ويصبح على مستوى العالم لكي نستفيد إذا سافرنا  لأنه رائع,positive
المشكلة في كل طلب يطلب مني مندوب التوصيل ارسل له اللوكيشن على رقمه في الواتس اب 😬,neutral
التطبيق جدا ممتاز  ولايوجد افضل منه .. واستخدامه رائع في السهولة والوضوح,positive
جميلا جدآ,positive
أعجبني جدا ويوصل بسرعه ولله انصح بتحميله,positive
تطبيق ممتاز نزلو ووصل اقل من وقت المحدد وساخن,positive
ما أعجبني,negative
لما اطلب يأخذ فلوس ولا لا,positive
حلوه مره,positive
أنصح بتحميله,positive
انا معجب بلی وصل لنا الفکر دی لان افطل  من ای شی بلا عداب ولا مشویر بجد شی حیلوووو اختکم فی الله ام الایتام علویه محمد چده ابها,positive
تعال هنا,positive
واو بيوتيفول,positive
اكللللل😋😋😋😋,positive
مو عاجبني,negative
ممتاز جدا ونسبهم معقولة,positive
رفاهية واسعه المدى,positive
هو مجاني,positive
والله جوعان,positive
نقصه بعض الاضافات,positive
تطبيق ممتاز ويريحك من المشاوير,positive
ارحبو,positive
ممتاز جدا جدا ويساعدك إذا كنت مشغولا,positive
ليش مبلغ محدد انا ابي  فردي لازم يطلع حد ادني 40 فياريت تغيرون,positive
من اروع تطبيقات الطلبات في الكويت,positive
موقع جدا ممتاز,positive
البرنامج جميل جدا جدا جدا وا سريع,positive
موقع رائع جدا بس غالي,neutral
شكرا علي الموقع الجميل 😙💓من أي دوله الي مسوي الموقع اهنيه علي الاختيار الصح,positive
جميل توصيل سريع وساخن وسهل,positive
رائع جدا ً,positive
فهد,positive
احسن من اضيع رصيد,positive
الله يعطيكم الف عافية وعلينا بالعافية,positive
جدا رائع بس لو يضيفو مطاعم زياده يصير 💪,positive
البرنامج بستاهل الف نجمه عنجد انا طلبت بيتزا واجالي الطبق مرتب جدا جدأ,positive
البرنامج رووووووووووووعة,positive
سهل جدا جدا,positive
حلو بس مو كل المطاعم فيه,positive
جيد ولكن ينقصه كثير من المطاعم,neutral
أفضل تطبيق للطلبات😚😚😚😚,positive
يحمل اتمنى يكون عند حسن ظني,positive
تم التنزيل وان شاء الله موفقين دوما,positive
اسطوره البرنامج,positive
حلو ماشاءالله عليهم تبارك الرحمن,positive
تطبيق حلو ومره فادني  أنصحكم تنزلونه,positive
يجنن.,positive
ممتاز جدا وخاصه انه يدعم التبرعات الخيرية,positive
تطبيق حلو وممتاز بس انا حطيت نجمه بكيفي😂😂😂😂,negative
جميل جدا أكثر من رائع,positive
ما طاع يتنزل. 😒😒,positive
جميل جدا اشكركم على التطبيق,positive
جميل ومفيد جدا,positive
احسن تطبيق 👍🏿,positive
جدا روعة الطلبات توصل في وقتها متعاونين جدا,positive
شكرا على خدمتكم,positive
كويس جدا انا كتير حبيتو وانصحكم ب تنزيله,positive
ممتاز لاكن التوصيل سيءء جدااص,positive
اكثر من رائع شكرة لكم,positive
👌💗,positive
برنامج راااائع,positive
برنامج لامثيرا له والله اذا أنا جوعت اطلب من طالبات وفي كل الدول بس تضقط على الدوله الي انت فيه وجيك كل الي تبيه.,positive
جدا جدا جدا جدا ههههههه رائع,positive
مجنون البرامج والله يستاهل تقيم مليون بل الميه,positive
سعد مبارك الحر قان,positive
جيد لكن اتمنى ان يصل بوقت أسرع,positive
كان جيد,neutral
ممتاز جدا ...👍,positive
انا الي طلبت شبس و بكس ماستر من شوي احوبكم,negative
حلو بس ما يوصل في الوقت المناسب,positive
برنامج جدا جدا جدا روعة لكن اتمنى اتضيفيني ستار بوكس,positive
ممتاز جدا  رائع,positive
رووووووووعة,positive
تاخر الطلب و اغلب الوقت مع الصلاه,negative
رائع انصح بالتحميل,positive
جميل جداً وانا جوعانه😉💕,positive
انصح كل من ينزل البرنامج وووووووووووووواااااايييييددد حلو😚😚😍😍😘😘😘,positive
؟بس الطلبات تتاخر,positive
اهنيكم ع البرنامج,positive
الموقع يجننن احلشي في ان حت تقدرين تطلبين من الايباد👍👍💕,neutral
خدمه التوصيل,positive
"سجلت معلومات كامله عن عنواني ولمن كلمني المطعم قال ماجانا الا طلبك بس، العنوان لا . لو يتزود بالموقع يكون افضل .",positive
ممتاز أنت,positive
بس يتأخر,positive
تطبيق سهل و رائع 😍😍😍😍,positive
تطبيق ممتاز 👍👍,positive
موقع جدا رائع بالتوفيق,positive
مناسب للطلب,neutral
انهو جميل جدا,positive
Thanks for servicing our order,positive
وربالكعبه انيالكعبهواجعلواجعلواجعلواجعلواجعلواجعلواجعلواجعلواجعلواجعلواجعلفيفيفيفيفيفيفيفيفيفيفيفيفيفيفيفيفيفيفيفي,positive
احب ذالك البرنامج,positive
حلوووو مرة مرة هههههه,positive
جربتة طلبت وصل اكل,positive
حلوووو طلبت وجبتين,positive
مره يهبل,positive
والله كذب والله الطلب ماجاني الله يلعنهم والله بالرفع عليهم قضيه,negative
لا يوجد مطعم كثيره,negative
It is easy and helpful a lot,positive
جميل جدا بس اتمنا إضافة ماكدونالدز ل عرعر,positive
احبه مررررررررررره😆😇😇😇 مره كويس بس يتاخرون في الطلب,positive
ممتاز جدا خاصتا في حق فطور,positive
جميل مرة  البرنامج  وانا مرة اعجبني ويسهل علينا,positive
النت قوي لاكن لما افتح التطبيق ما يفتح طلب الديليفاري احسن من طلب هيك تطبيق,neutral
تطبيق فاشل اطلب طلب يجيني غير يلي انا طالبه برنامج فاشل,positive
جيد..لكن المطاعم قليلة..ساعة تقريبا لتلبية الطلب,neutral
المطعم ما يوصل حي المنصورة في مدينة رياض ارجو حل مشكلة,positive
والله مسحت كل الطتبيقات و انا ما مسحت أي تطبيق,negative
ممتاز بس المشكلة غالي شوي,positive
حلو و,positive
💜💜,positive
يوصل بارد,negative
ازعجتونفخت,negative
التطبيق يساعدك على طلب اي شيئ,positive
الحل الوحيد اذا جوعت وماعندك رصيد,positive
ليش يطول. ياورع            #جيش—spooki,positive
تافه بعض الطاعم ماتطلع,negative
برنامج رائع ويوفر الوقت لتنفيذ الطلبات,positive
.Good,positive
جميل عجيب,positive
..جميل,positive
جدا ممتاز ومفيد.,positive
اخس برنامج مر علي  هنقرستيشن أحسن منه بكثييييير الطلب ياخذ ساعتين عشان يوصل برنامج زباله,negative
مطعم بقمة الروعه انصحكم فيه,positive
جيد صراحه,positive
و الله حلو,positive
أمره طررررررر,positive
ولاحلو,neutral
التطبيق يهبل,positive
لااعرفع,positive
يجب اضافة بعض المطاعم لقائمة الجبيل الصناعية,neutral
ارتحنا من اللموزين,positive
جدا رائع وسريع,positive
بعض المرات يحصل تأخير,positive
كل ما أدخل كلمة السر و البريد الإلكتروني يقول غير صحيح البريد الالكتروني وكلمة المرور 😱😰😵🤒,positive
يجنن❤❤❤,positive
روعة فيه كل شي الا ان الطلب يتاخر يعني تقريبا ساعة ع مايوصل الطلب,positive
والله التطبيق مره كويس انصح الي يكون تعبان ولا جيعان وماايقدر يطبخ يحملو,positive
لا اريده,negative
نصابين   انا طالب الساعه 12اسنيته لساعه 3 وكل شوي ادق عليه يقول 10 قايق و3 داقيق هاذي الي فارح في وطلب لليوم ما جا   😭😭,negative
حلو مررررررررره هذا البرنامج,positive
حلو حلو اكتير اكتير 😮❤❤❤❤,positive
جميل لكن التوصيل متاخر,neutral
تاخير ف وصول الطلب,neutral
مرحباً...اخي الفاضل اعجبني التطبيق ولكن توجد صعوبة في تحديد موقع توصيل الطلبية لذلك اضف إلى قائمتك 'تحديد موقعي' لمعرفة مكان التوصيل...وأيضاً اضافة موقع ولاية صحم لتواجده مطعم كنتاكي... وشكراً,positive
ممتاز بمعنى الكلمه,positive
يفك أزمه,positive
العروض وهميه و اغلى في السعر لو انك تطلبه من المطعم نفسه,negative
👍💜💜💜,positive
جميل جدا لكن لو يكون فيه تواصل مع المطعم كثير يتأخر ساعتين وثلاث ساعات ومرات مايجي الطلب,positive
جيد ولكنيحتاج ان يكوم الموصليتحدث تلعربيةو يعرف فيالمنطقة,positive
جميل جدا جدا😊😊😊💜,positive
ممتاز و سهل,positive
عجيب برنامج,positive
خدمه متميزه بالتوفيق,positive
الالات,positive
السلامة عليكم ورحمة وبركته التابق مطنخ,positive
😘😘😘,positive
تطبيق ممتاز و اتمنى اضافة الموقع الخاص بي عوض عن الوصف,positive
البرنامج افشل من الفاشل طالبه من الساعه12:19 دقيقه و الطلب لحد الأن م وصل ولي اكثر من ساعه 1:16   يستحق نجمه واحده فقط👎👎😾,negative
جميل وافضل من تطبيقات اخرى بالنسبة للوقت وسخونة الاكل👍🏿.,positive
جيد وسريع في بعضالمطاعم,positive
اتمنى اضافة مطاعم البيك بالنسبة للمنطقة الغربية وذلك والله يكفينا هم الزحمة و العناء و الوقت,positive
حبيت🌚💜.,positive
جدا جدا رائع بس يارب يوصل اسرع وقت,positive
البرنامج منتااااززز ✌,positive
جميل التطبيق و بسيييط,positive
زيادة المطاعم في حي الفلاح,positive
♥♡♥♡,positive
رائع جدا و سريعين التوصيل,positive
تطبيق سهل و مفيد,positive
برنامج رائع جدا و سريع في توصيل الطلب . ينقصه فقط تحديد الموقع,positive
ليش مافيه خدمة الخرائط لتحديد موقع العميل ؟؟ هنقر ستيشن أفضل من ناحية الخرائط .. برنامجكم بدائي,negative
روعةةةةةةةةةةةةةة,positive
الحين كثير ممتاز,positive
هو ممتاز .بس ارجوا في سرعه التوصيل,positive
تطبيق ممتاز جدا جدا  لو تلتزم المطاعم بالوقت وبحراره الاكل  كان وضعهم للأحسن,positive
جميل ومميز,positive
برنامج جمييل❤,positive
حيلو 😘😘😘😘😘😘😘🎀🎀💕💕💕💒,positive
اجمل موقع صراحه.,positive
التطبيق اكثر من رائع,positive
برنامج رائع وانصحكم تحملونه,positive
خدمة ممتازة ومذاق رائع,positive
جيد بس مو نفس قبل,positive
الحمد لله ع كل حال,positive
برنامج جميل.,positive
البرنامج وايد حلو و يسهل الطلب,positive
انااسمي العنود العتيبي,positive
فجر,positive
مش عارف,positive
حللوو رحت سفرة ل12سننة تعبان حملتع,positive
جميل جدا جدا واو,positive
ليه مافيه طريق السوده,negative
اعجبني البرنامج سريع والأكل حار واذا كنت مااقدر اطلع أطلب منه😍😌👍👍,positive
مطعمي المفضلللللل جميل جداً,positive
اللهم شافي موتا المسلمين,positive
منقذ خالجحلة,positive
رووووووعه وسرييييييييع,positive
انا دحين بجربو,positive
شال هم اني ادور احد عشان اترجاه يجيبلي اكل😆😍,positive
جدا رائع وحلو انصحكم انه تنزلونه💕💕💕💕👍👍,positive
البرنامج مره حلو وينفع,positive
موقع جميييل جدااا ولكن الحد الأدنى للسعر يكون مرتفع,positive
التطبيق رائع جدا يوفر لك مطاعم عديدة لتناول وجبة لذيذة,positive
أكل رائع جدا,positive
تطبيق مره مره حلو,positive
أحسن تطبيق مطاعم,positive
اكره,positive
يتأخر و ممكن تنتظر  و تصبر و بعد كم ساعه تتصل يقلك اصلا الغينا طلبك من لحضه وصول طلبك؟!  ولا يطلع لك المطاعم الكبيره مثل هرفي كنتاكي,negative
اكرهاههذا الطبيق يضل يحسني اعلانو ما اريد,negative
طلبت الساعه ١٢ بالليل و ما جاء احسب سحب علي الا الساعه ٣ يتصل يسستتتهههبل ؟؟؟؟,negative
زيادة الخيارات من المطاعم الصحيه,neutral
يسهل عليك الوقت وهو رائع والطلبات سريعة,positive
عادي جدا,neutral
It is so بيوتڤل 🌺🌺,positive
تعالوا عندي في استقرامي jojo_9jj,positive
عجييييييب,positive
تمام بس لو يحطون مطاعم 24 ساعه,positive
وايد حلوو وسهل للاستعمال,positive
ممتاز دقه عاليه الخيارات في البرنامج متعدده ومفصله تعطيك اريحية في اختيار نوع وجبتك,positive
روووووعه وفي غايه الدقه  مممممم,positive
افضل تطبيف على الأطلاق,positive
برنامج فاشل كاتب نفس وطلبي في المدينه المنوره,positive
رائع جدا احببته,positive
وسيله ممتازه لابلاغ الطلبات للمطاعم,positive
الاكل طيب,positive
جميل بس عيب كودو ماعندهم مجال إذا طلبت الغاء,positive
حلو مرةة,positive
انا في منطقة الجوف ولايوجد سوا 3مطاعم ايش الحلاوه,negative
المطاعم محدوده الرجاء التوسع,neutral
يستانيت الطالب يومين,negative
كنت جاي من السعوديه وكنت جوعان فتحت الموقع و طلبت جاء سريع كل شئ كان حار عجيب يستحق 5 نجوم أخوكم عبدالملك من الكويت مع السلامه,positive
انصحكم تحملو😍😍😍,positive
فيلو ارسل موقع,positive
البرنامج نار  و اذا تبين شي تطلبين منى بدال لااحركين سيارتج وتروحين,positive
سيئ جدا ولا يوجد أي مصداقيه و في كل مرة وعود كاذبه,negative
حلو وجميل جدا,positive
جميل جدا..سريع,positive
جميييييييييييييييييييييييييييييييييسييييييييييييييييييييييييييييييييييييييييييييييييييييسسسسسسسسلل,positive
عجيب البرنامج 😍,positive
افضل برنامج للطلب السريع,positive
ماجربته بس اتوقع جميل😄,positive
يتأخر مرات والاكل يكون بارد.. بس حلو اكله,positive
.ممتاز جدا,positive
تأخير والدعايات واجد,negative
جيد جدا ممكن الوقت يطول بس لو حسبتها صح بتوفر جهد ومشوار وزحمة,positive
من البرامج اللي ما استغني عنها,positive
افضل تطبيق لطلب الطعام انصح بتنزيله,positive
مررررة حلو لدرجه اني كل ما أجوع أطلب منهم حملوا التطبيق سوف يغير حياتك 😲💖💃,positive
صعب فهم,positive
انصح بالتنزيل,positive
ممتاز جدا..بارك الله فيكم,positive
والله حلو,positive
جميل جدا جدا جدا جدا جدا جدا 😍🍔🍟🍕🍗🍽,positive
انا طلبت من كنتاكي والطلب تاخر مرة والاكل مرة بارد وبعدي انت الي ماعندك سالف& التطبيق خرا,negative
سريع سريع فالتوصيل,positive
جميل مشاء  الله,positive
ممتاز للطلب عن طريق النت,positive
تقرير مواعيد فتح و إغلاق المطاعم,negative
اكثر من رائع ...تواصل ...دقه .....مصداقيه .....الله يحفضكم استمرو,positive
اسوء تطبيق ممكن الطلب عن طريقه,positive
ججميل .,positive
يجنن٣,positive
اصبح البرناج زباله واصبحة المطاعم تقوم بإلغاء الطلبات من تلقاء نفسها.,negative
واو رائع انا كنت مسافره لدبي وقبله 10دقايق وصلوها لي وسريعين ماشالله,positive
صراحه مرا مرا روووعه انصحكم تجربو والله ماتندمو شكرا تطبيق طلبات.,positive
لو تخلون كتناكي و هارديز يقبلون كينت و افظل,positive
شوفو تطبيقكم مرة يجنن بس لو تضيفون مطعم ماك يخي 🙃بهنقرستيشن مرة مو كويس ومايوضلون,positive
لأ أريد أزعاج,negative
بصرحه حيل تاخر وما جانا الطلب لما دقينا عليه قال كل كنسلنه صج خدمتهم فاشله👎,negative
كم كلمة لوصف ابدع توفير تسهيل تبسيط,positive
روعععععععه التطبيق,positive
اينن  بس خدمتهم فالتوصيل وايد بطيئة,positive
ممتاز حبيت,positive
تطبيق جيد لاكن يحتاج لتحديد موقع الزبون بالخرائط,neutral
جميل جدا  وراقيه,positive
ممتااااز ..,positive
ممتاز جدا وخاصة الظهر الحرارة مرتفعة وزحمة,positive
والله هو كويس لكن اسعار الحد الادنا غالية,neutral
بالنسبة للي يسبون التطبيق عشان الطلب تأخر. هههه‍هههه يادلخ التأخير من المطعم وش دخل التطبيق. التطبيق يرسل طلبك للمطعم وبس !!,positive
حلو والله  ✌💙,positive
تطبيق ضعيف وتصميمه غبي.. تقليد لهنقرستيشن,negative
جدا جدا رائع طلبت ووصلي الطلب بسرعه والأكل ساخن ورووووعههه,positive
تطبيق جميل و عملي,positive
زباله ويجمع كل المطاعم الزباله,negative
تطبيق ممتاز جداا جداا,positive
اَْشگٍڕگٍ اَْمٌمٌگٍ يِاَْشيِخ,positive
جميل جداا برنامج ممتاز انا احبهو كل يوم اكل من تطبيق طلباتي,positive
يهبل صراحة ينقذني,positive
حلو مره والتوصيل سريع ومندوبي التوصيل سهل التعامل والتفاهم معاهم,positive
تطبيق فوق الرائع,positive
سهل الاستخدام و يوفر لك الوقت و تشكيلة جيدة من المطاعم,positive
معرفت كيف استعمله فحذفته,negative
ممتاز  يحتاج إلى إضافة بعض المطاعم,positive
حلو جدا انصح بتحميله,positive
ججميل وسرعه في اداءالطلب,positive
جميل😘😘😘انصح بتحميل,positive
حلو بساعات يتاخر فوق الموعد بنص ساعه ساعه 🕒,positive
لبرنامج جميل,positive
مررررررررررررررررره يجنن ولا اروع 😘😘,positive
لتن,positive
ابدا شركه ابدا ما أتابع مع المستفيد انا طالب من ماكدونالدز وقالو الطلبيه توصل خلال 90 دقيقه وطبعا هذا التوقيت تعبان من الأساس لأنه الاكل راح يكون بارد بعد 40 دقيقه اتصلو فيني لتأكيد العنوان وعدت التسعين دقيقه وفوقهم نص ساعه  بعد ورجعت اتصلت على طلبات يوم سألته الموضف ليش تأخرت الطلبيه قالي والله انلغت الطلبيه من عشرين دقيقه يا سلام قلتله ليش ما تواصلتو معاي وبلغتوني سكت الحبيب يعني انا ما ما لغيت الطلبيه هم اللي لغو وبعد ما بلغوني وانا الي سألت وبعد بكل ثقه يقول الطلبيه من عشرين دقيقه انصح الجميع اولا توصيلهم يتأخر وبعدين مافي متابعه مع الزبون,negative
حلو ماره,positive
رووووووووعة احلا برنامج,positive
انه لذيذ,positive
والله جميل,positive
خدمة رائعه توصيل سريع,positive
كل سلح,positive
مره لا يوصل متاخر طلبت 9 وصلني 10 ونص وصل ناقص وبارد  من هرديز,negative
مخنز لنه ما يكنسل اطلب الول يضل فشاشه على طول,negative
اعشق  هذا  المطعم  الاكل  لذيذ  جدا  😍😘,positive
دائما اطلب يجي قبل الوقت ❤😻,positive
روُوُوُعَ,positive
جميل جداجداجدااا,positive
المطعم مو حلو أنا كلمني مصري وم تفهم كلامه وباررررد,negative
ممتاز يستاهل 100000نجمة,positive
هوا جمليه انصحكم تحملوا .,positive
رووعه♥,positive
زق وصخ,negative
ليت تزيدون عدد المطاعم وخيارات اكثر,positive
يعجبني,positive
أنه جيد,positive
مرره كويس التطبيق للي عايش لحاله و ما عنده رصيد يطلب لكن المشكله  التوصيل بطيئ و عندي فكره لو يضيفوها بتزيد نسبه المستعملين للتطبيق بنسبه 30% وهي انها يسوون كوبونات خصم و بس...,neutral
أنتم ملوك من سوها,positive
ليه مافهوش مصر,negative
برنامج ممتاز بس زيدو محلات الحلويات,positive
جميل جدا وتستطيع تلبية رغبات الجميع في وقت واحد,positive
جميل جدا. ويضم مطاعم كثيرة,positive
ممتاز وتوقيت وصول الطلب ممتاز جدا,positive
احسن موقع توصيل بلا مجاملات,positive
والله البرنامج خرافي,positive
ممتاز و يستاهل اكثر,positive
بس لو تخلونه ٢٠ دقيقه يجي لنه هو ٦٠ دقيقه,positive
It very good,positive
يستاهل نجمة فقط,negative
اﻵن بجربه وبشوف,positive
المطاعم محدده ونتمناء انكم تحطون خيرات مطاعم اكثر,neutral
متنوع وجميل بس ياليت تضيفون المطاعم الجديده,positive
عملي جدا ورائع,positive
هناك مشكلة في الوجبات الجديدة,neutral
Cm رائعون,positive
تطبيق مفيد جدا ويشمل العديد من المطاعم والكثير من الخيارات (بفتح الخاء) 😊😂,positive
ممتاز بس ماعندي فلوس😂,neutral
تتزوج ممحونه جراره ياراعي البرنامج,negative
رائع جدا واتمنى تضيفو مطاعم زيادة وبس❤❤💋😗😗😗,positive
بالتوفيق والنجاح لمن اسس وساعد ع عمل التطبيق,positive
😁😁😁😁😁😁😁😁😁😁😁😁😁😁😂😁,positive
شكرا علي جهودكم,positive
ياخي شبعت,positive
مايدعمون كل الاماكن,negative
انصحكم في هذا البرنامج جميل يسيطر على الجوع😘😘😘😘😘😘😘😘,positive
ليش مافي توصل لا المفرق,negative
يوفر وقت وجهد,positive
التطبيق حلوه حيل,positive
حلو بس لايكسر فيني لمن اطلب,positive
قبل شوي طلبت بيتزا  وإجانا الطلب عالموعد وما تأخروا علينا خدمات ممتازة والطعم  لا يقاوم ولا أروع من هيك,positive
الصراحه  انا نزلته اكلي اختر بلدك ماكو العراق برنامج فاشل وعل فكره هاذ مو لاصلي هاذ شركه مقلده,negative
برنامججج جميلللل💜💜💜💜.,positive
زززززق  اخيس برنامج على وجه الارض ميطلع مطاعم ابد,negative
حلو وعجبني,neutral
مره كول 👄👄,positive
تطبيق مريح وسهل,positive
روعه مشروع ناجح,positive
طبيعي,neutral
رائع بمعني الكلمه,positive
جميل جدا يساعد أشخاص  على كل شي,positive
برنامج تافه لانه يميز عمان الغربيه لعمان الشرقيه حتى بسعر التوصيل وكمية المطاعم المتوفره وهو قمة الحقاره راح اشطب هيك تفاهه,negative
خدمة رائعة و خدمتني كثير اشكر كل القائمين عليها جزاكم الله خير,positive
احسن تطبيقات في الطعام والمشروبات هما تطبيقين هنقر ستيشن و طلبات دوت كوم,positive
جيد ولكن يجب تقليل وقت التوصيل,positive
"ممتاز،، استمرو في تطويره",positive
تطبيق جميل وسهل لكن بعض صور المنيو  غير موجودة,positive
رائع جدا يختصر علي الكثير من الوقت,positive
تلبس,positive
نحتاج قائمة مطاعم شاملة اكثر وبعض الصور للتوضيح غير ذلك نشكر جهودكم المبذولة على تسهيل الامور لنا,positive
حلووو واايد بس اتمنى يكون فيه حلويات اكثر,positive
خايس مايجيب موقعي جاب كل المواقع عدا موقعي,negative
خدماته ممتازه,positive
جميل اللعبه جدا بس لم اجربها,neutral
هوه يعني مو حلو ولا خايس وسط,positive
..بيرفكت,positive
جمييل💜,positive
ذا التطبيق جميل جدا جدا,positive
اتمنى تتوفر مطاعم اكثر,neutral
ممتاز وتطبيق يحترم عملائه وصراحه من اول ماانتشر هبوو فيه الناس الله يوفقكم مبتدئين❣❣,positive
تطبيق جميل جداا,positive
عجيب و مقدر استغنه عنه,positive
",ممتاز يعني تتصفح الوجبات والمطاعم الي تخطر على بالك. وانت جالس مكانك. شي يفوق الخيال.  بصراحه طلبات. تحلو معها الطلبات.",positive
رااائع❤👌,neutral
أفضل تطبيق لطلب الطعام في العالم برأيي,positive
لا زم كل المطاعم البعيده ول قريبه اذ المطعم بعيد من المنطقه ما يجبووه,positive
جدا جميل البرنامج,positive
عادي مهب لذيك الدرجة,neutral
سهل وممتع ويجيبلك عروض خاصه ع رقمك,positive
افضل مطعم اطلب منه دايم برجر كنج,positive
ولله مرره حلو وبرنامج روعه لكل الاذواق !,positive
حلو يننننننن💋💋💋,positive
الموقع ممتاز جدا وانا من المدمنين عليه ومنقذ بوقت الازمات,positive
للاسف الطلب اتأخر ساعتين ويوم وصلني كان باررررد وصارت لخبطة بالطلب اخذت طلب غير ولي يوصل مو عارف شيء,negative
لم تصل الطلبات بالشكل المطلوب ولا يوجد رقابة صارمه للشركات المقدمه للخدمه,negative
زين احسن من غيره,positive
سناب,positive
رائع جدا  أنصح بها  جميل توصيل سريع و الأكل ساخن 😋,positive
جدا سريع,positive
كس,positive
لهبمفلتهقذح,positive
مطعم قمة في البداع,positive
حلوووو😄😄,positive
ممتاز جداجداجدا,positive
الأكل لذيذ بس مطعم بوان ب رستده حاااااااااار 💂😍,positive
المطعم الذي اريده لم يكن مفتوح    ولا يوجد جميع المطاعم لاكنهو تطبيق جميل ولقد اعجبني,positive
حلو مره عجيب,positive
جميييييييييل جدااااااا بس وصل متأخر التطبيق جميل,positive
جداا ممتاز,positive
السرعة,positive
اختصر اشياء كثييرة غير انه يعرض المنيو مصور وتقدر تختار منه,positive
ففيه شبكه قصدي إذا ممعاك كاش  تدينهم صرافه ردو ضروري,positive
افضل من كاردج,positive
مره راأع,positive
افضل برنمج,positive
برنامج أكثر من رائع يعطيكم العافية,positive
جميييل جميل جدا,positive
صراحه هو مطعم حلو بس مايدلون العنوان زين,neutral
جدا جدا رائع والله وانا راجع من السفر وتعبان وكنت جوعان وطلبت ووصلي الطلب على الوقت وساخن رووووعة واشكر مصمم التطبيق ويعطيكم الف الف عافية  بس عندي اقتراح الجي بي اس عشان الي يوصل مايجد صعوبة في البحث عن المنزل وشكرا 😘😘😘,positive
جيد لانه يلغي الطلب ولا يوصل 😑,negative
برنامج اتمنى انه مايوقف ووفر علينا اشياء كثيره رؤؤؤؤؤؤؤؤؤعه,positive
احلى تطبيق والله العظيم انصح بتحميله,positive
مرا سرييع فاليل انصحكم فيه,positive
ما يحتاج كلام,positive
خدمة التطبيق جيده,positive
يوصل متأخر مررررة مو زين انا طلبت جاني الطلب متأخر مرة وبارد ماينوكل,negative
تسهيل توصيل الطلبات,positive
نله,positive
طلعتلي فكره😂,positive
